vector,distortion,trial,true_bits,pred_bits,ber,sim_00,sim_01,sim_10,sim_11
B,none,0,00,00,0.0,0.5274406671524048,0.3272688686847687,0.3122461438179016,0.14135901629924774
B,none,0,01,01,0.0,0.6092778444290161,0.6130459904670715,0.260399729013443,0.18177883327007294
B,none,0,10,10,0.0,0.3892842233181,0.4062674641609192,0.5213462710380554,0.42161256074905396
B,none,0,11,10,0.5,0.23442023992538452,0.35590893030166626,0.4600735902786255,0.4103201627731323
B,none,1,00,00,0.0,0.5406383872032166,0.5283851623535156,0.2271171510219574,0.0482289120554924
B,none,1,01,00,0.5,0.6650820970535278,0.6286107301712036,0.3574168384075165,0.226418599486351
B,none,1,10,10,0.0,0.221825510263443,0.2882574796676636,0.5156968235969543,0.39462968707084656
B,none,1,11,10,0.5,0.10029388219118118,0.27766847610473633,0.4761950969696045,0.4460391104221344
B,none,2,00,00,0.0,0.5326412320137024,0.2852243185043335,0.24034708738327026,0.035708412528038025
B,none,2,01,00,0.5,0.6156540513038635,0.5991519689559937,0.2612759470939636,0.1779770404100418
B,none,2,10,10,0.0,0.3630203306674957,0.2875850200653076,0.4597073495388031,0.3168521225452423
B,none,2,11,10,0.5,0.17788168787956238,0.3320052921772003,0.44499748945236206,0.4183485805988312
B,none,3,00,00,0.0,0.4438937306404114,0.23831096291542053,0.3299596309661865,0.15809029340744019
B,none,3,01,00,0.5,0.6043733954429626,0.536068320274353,0.2856859266757965,0.148037850856781
B,none,3,10,10,0.0,0.1692969799041748,0.32743149995803833,0.4471958875656128,0.35318103432655334
B,none,3,11,10,0.5,0.17194509506225586,0.2753428816795349,0.462615042924881,0.4047722816467285
B,none,4,00,00,0.0,0.48100319504737854,0.2763833701610565,0.24457931518554688,0.07228096574544907
B,none,4,01,01,0.0,0.6439729332923889,0.6550365090370178,0.26724565029144287,0.19440189003944397
B,none,4,10,10,0.0,0.2047453671693802,0.22935400903224945,0.44273442029953003,0.31941354274749756
B,none,4,11,10,0.5,0.2592530846595764,0.33630073070526123,0.42950567603111267,0.36307868361473083
B,mp3_320,0,00,00,0.0,0.5274713039398193,0.3270266652107239,0.31157782673835754,0.14098332822322845
B,mp3_320,0,01,01,0.0,0.6085443496704102,0.6126354932785034,0.2600306272506714,0.18157219886779785
B,mp3_320,0,10,10,0.0,0.37989988923072815,0.399650514125824,0.5113630890846252,0.41505512595176697
B,mp3_320,0,11,10,0.5,0.1906750500202179,0.3260416090488434,0.42561063170433044,0.3925268352031708
B,mp3_320,1,00,00,0.0,0.5415367484092712,0.5290063619613647,0.2270134687423706,0.04845939949154854
B,mp3_320,1,01,00,0.5,0.6608747839927673,0.6252772212028503,0.35039812326431274,0.2212068736553192
B,mp3_320,1,10,10,0.0,0.21217988431453705,0.28750771284103394,0.5016420483589172,0.3880561888217926
B,mp3_320,1,11,10,0.5,0.06439121067523956,0.2717152237892151,0.43814966082572937,0.4277145564556122
B,mp3_320,2,00,00,0.0,0.5328407287597656,0.2857014536857605,0.24014998972415924,0.03618110343813896
B,mp3_320,2,01,00,0.5,0.6147496104240417,0.5978630185127258,0.26005104184150696,0.1773928850889206
B,mp3_320,2,10,10,0.0,0.35385724902153015,0.2794734835624695,0.4427754878997803,0.3059283494949341
B,mp3_320,2,11,10,0.5,0.1593879908323288,0.318380743265152,0.4271675646305084,0.4009833335876465
B,mp3_320,3,00,00,0.0,0.44392988085746765,0.2377040982246399,0.32998889684677124,0.15734952688217163
B,mp3_320,3,01,00,0.5,0.6039124727249146,0.5353851318359375,0.2835174798965454,0.1467842012643814
B,mp3_320,3,10,10,0.0,0.15273195505142212,0.31611478328704834,0.41973447799682617,0.3379748463630676
B,mp3_320,3,11,10,0.5,0.16107940673828125,0.2601250410079956,0.44337671995162964,0.39512211084365845
B,mp3_320,4,00,00,0.0,0.48028409481048584,0.2762776017189026,0.2458120733499527,0.07321788370609283
B,mp3_320,4,01,01,0.0,0.6409457325935364,0.6531862020492554,0.2637752294540405,0.19294191896915436
B,mp3_320,4,10,10,0.0,0.2030925154685974,0.23186181485652924,0.42959412932395935,0.31244197487831116
B,mp3_320,4,11,10,0.5,0.23176710307598114,0.32274433970451355,0.40259549021720886,0.3523433208465576
B,mp3_192,0,00,00,0.0,0.5286260843276978,0.3280506432056427,0.3111792206764221,0.14205598831176758
B,mp3_192,0,01,01,0.0,0.6064879298210144,0.6127699017524719,0.26009222865104675,0.18302646279335022
B,mp3_192,0,10,10,0.0,0.384143590927124,0.4020511209964752,0.5133960843086243,0.41417568922042847
B,mp3_192,0,11,10,0.5,0.18534864485263824,0.3288063108921051,0.4113580882549286,0.38861843943595886
B,mp3_192,1,00,00,0.0,0.5408294796943665,0.5300546884536743,0.22805067896842957,0.04988792911171913
B,mp3_192,1,01,00,0.5,0.6616325378417969,0.6282634735107422,0.35094261169433594,0.22349536418914795
B,mp3_192,1,10,10,0.0,0.21101242303848267,0.29019322991371155,0.4913577139377594,0.38215500116348267
B,mp3_192,1,11,10,0.5,0.07373585551977158,0.2799553871154785,0.4481674134731293,0.4372078776359558
B,mp3_192,2,00,00,0.0,0.5324650406837463,0.2863122820854187,0.24029302597045898,0.036309368908405304
B,mp3_192,2,01,00,0.5,0.616024911403656,0.6001822352409363,0.2631285786628723,0.1798040121793747
B,mp3_192,2,10,10,0.0,0.3386841118335724,0.2758292257785797,0.4297674596309662,0.29860830307006836
B,mp3_192,2,11,10,0.5,0.14952483773231506,0.31383833289146423,0.42486897110939026,0.4048495888710022
B,mp3_192,3,00,00,0.0,0.444925457239151,0.2388516366481781,0.3296789526939392,0.1582862138748169
B,mp3_192,3,01,00,0.5,0.6061909198760986,0.5392530560493469,0.287639856338501,0.1505049765110016
B,mp3_192,3,10,10,0.0,0.15747201442718506,0.32595741748809814,0.42124301195144653,0.3429187536239624
B,mp3_192,3,11,10,0.5,0.16126632690429688,0.27107831835746765,0.4383348822593689,0.39948803186416626
B,mp3_192,4,00,00,0.0,0.4821288287639618,0.27733978629112244,0.2442764788866043,0.07297497242689133
B,mp3_192,4,01,01,0.0,0.6414746642112732,0.652701199054718,0.262947142124176,0.19260115921497345
B,mp3_192,4,10,10,0.0,0.1982014924287796,0.22883673012256622,0.43183764815330505,0.31430137157440186
B,mp3_192,4,11,10,0.5,0.23273897171020508,0.32708096504211426,0.4033740758895874,0.3563036322593689
B,mp3_128,0,00,00,0.0,0.5296863913536072,0.32591062784194946,0.30712223052978516,0.138029083609581
B,mp3_128,0,01,01,0.0,0.6062849164009094,0.6112609505653381,0.25764429569244385,0.18140916526317596
B,mp3_128,0,10,10,0.0,0.4461803138256073,0.428861141204834,0.548218846321106,0.4131269156932831
B,mp3_128,0,11,10,0.5,0.19548772275447845,0.3358428180217743,0.4181452989578247,0.3936241865158081
B,mp3_128,1,00,00,0.0,0.5374720692634583,0.5293381214141846,0.22688913345336914,0.05053899437189102
B,mp3_128,1,01,00,0.5,0.6648885607719421,0.6348844170570374,0.3593965172767639,0.231242835521698
B,mp3_128,1,10,10,0.0,0.24945293366909027,0.3274097740650177,0.5203999280929565,0.4050845503807068
B,mp3_128,1,11,10,0.5,0.08616014569997787,0.28522735834121704,0.4576597511768341,0.4454321563243866
B,mp3_128,2,00,00,0.0,0.5317006707191467,0.2846114933490753,0.24197259545326233,0.03911459445953369
B,mp3_128,2,01,00,0.5,0.6127769947052002,0.5960136651992798,0.2619648575782776,0.17923597991466522
B,mp3_128,2,10,10,0.0,0.4176252484321594,0.31053900718688965,0.5146431922912598,0.3225896656513214
B,mp3_128,2,11,10,0.5,0.1746828258037567,0.32953497767448425,0.4448854923248291,0.41078612208366394
B,mp3_128,3,00,00,0.0,0.44629302620887756,0.23437725007534027,0.32039880752563477,0.14833380281925201
B,mp3_128,3,01,00,0.5,0.6047605276107788,0.537173867225647,0.28608959913253784,0.14929208159446716
B,mp3_128,3,10,10,0.0,0.168280690908432,0.3434099555015564,0.42806318402290344,0.3592163920402527
B,mp3_128,3,11,10,0.5,0.17215636372566223,0.27279132604599,0.44603070616722107,0.40276551246643066
B,mp3_128,4,00,00,0.0,0.48062804341316223,0.2753467857837677,0.2487715184688568,0.07407113164663315
B,mp3_128,4,01,01,0.0,0.6425878405570984,0.6531533598899841,0.26684096455574036,0.1962331384420395
B,mp3_128,4,10,10,0.0,0.3137686252593994,0.25728583335876465,0.4977157711982727,0.30104804039001465
B,mp3_128,4,11,10,0.5,0.23909583687782288,0.34245771169662476,0.41645166277885437,0.3695448637008667
B,awgn_30db,0,00,00,0.0,0.43265271186828613,0.26775291562080383,0.3127388060092926,0.09693186730146408
B,awgn_30db,0,01,00,0.5,0.47153180837631226,0.41951417922973633,0.13977326452732086,0.039410024881362915
B,awgn_30db,0,10,10,0.0,0.23369650542736053,0.26572898030281067,0.4744805097579956,0.3212931752204895
B,awgn_30db,0,11,10,0.5,0.1192234456539154,0.16155174374580383,0.3766385316848755,0.27255871891975403
B,awgn_30db,1,00,00,0.0,0.5250905752182007,0.5052489042282104,0.22561626136302948,0.03926156088709831
B,awgn_30db,1,01,00,0.5,0.47908973693847656,0.42550230026245117,0.21951058506965637,0.09406343102455139
B,awgn_30db,1,10,10,0.0,0.137294739484787,0.19857977330684662,0.47464102506637573,0.3289530277252197
B,awgn_30db,1,11,10,0.5,0.016325868666172028,0.14504468441009521,0.4031818211078644,0.3147135376930237
B,awgn_30db,2,00,00,0.0,0.499462753534317,0.2762417793273926,0.2599441707134247,0.040110621601343155
B,awgn_30db,2,01,00,0.5,0.49013763666152954,0.43139946460723877,0.19293329119682312,0.08766423165798187
B,awgn_30db,2,10,10,0.0,0.2552868723869324,0.19571566581726074,0.42406657338142395,0.26078274846076965
B,awgn_30db,2,11,10,0.5,0.05466713011264801,0.13032929599285126,0.3740685284137726,0.30447739362716675
B,awgn_30db,3,00,00,0.0,0.3848946988582611,0.23989203572273254,0.3471997082233429,0.17598886787891388
B,awgn_30db,3,01,00,0.5,0.42679253220558167,0.33622848987579346,0.17684288322925568,0.03045097179710865
B,awgn_30db,3,10,10,0.0,0.08941502124071121,0.2509559094905853,0.4407452940940857,0.3321950435638428
B,awgn_30db,3,11,10,0.5,0.1311621367931366,0.21846525371074677,0.4330345690250397,0.35947927832603455
B,awgn_30db,4,00,00,0.0,0.4431458115577698,0.2505294978618622,0.29112720489501953,0.08449394255876541
B,awgn_30db,4,01,00,0.5,0.491718053817749,0.45814409852027893,0.15381748974323273,0.061788566410541534
B,awgn_30db,4,10,10,0.0,0.09358324110507965,0.12189055979251862,0.3872644901275635,0.23908722400665283
B,awgn_30db,4,11,10,0.5,0.15680739283561707,0.2037145495414734,0.4096583425998688,0.3052442669868469
B,awgn_10db,0,00,00,0.0,0.22878985106945038,-0.011701388284564018,0.17768748104572296,-0.036798231303691864
B,awgn_10db,0,01,00,0.5,0.3427746891975403,0.2132892608642578,0.10143891721963882,-0.04134960100054741
B,awgn_10db,0,10,10,0.0,0.12561343610286713,0.08875478059053421,0.4215069115161896,0.2194172888994217
B,awgn_10db,0,11,10,0.5,0.11771812289953232,0.0732005313038826,0.3310055732727051,0.17228856682777405
B,awgn_10db,1,00,10,0.5,0.3304802179336548,0.26470860838890076,0.3546469211578369,0.07017652690410614
B,awgn_10db,1,01,00,0.5,0.35475435853004456,0.21553532779216766,0.1766233891248703,-0.0014605671167373657
B,awgn_10db,1,10,10,0.0,0.168860524892807,0.09119561314582825,0.3541741967201233,0.15249334275722504
B,awgn_10db,1,11,10,0.5,0.04207596182823181,0.06778046488761902,0.362797349691391,0.21740037202835083
B,awgn_10db,2,00,10,0.5,0.2433314323425293,0.07774875313043594,0.29305213689804077,0.036355871707201004
B,awgn_10db,2,01,10,1.0,0.23755155503749847,0.13119187951087952,0.263405978679657,0.1098230704665184
B,awgn_10db,2,10,10,0.0,0.20460914075374603,0.09558470547199249,0.37041646242141724,0.18036271631717682
B,awgn_10db,2,11,10,0.5,0.05335719510912895,0.03337802737951279,0.3658289611339569,0.2217048555612564
B,awgn_10db,3,00,10,0.5,0.22345566749572754,0.010923177003860474,0.27878081798553467,0.06681149452924728
B,awgn_10db,3,01,10,1.0,0.18565510213375092,0.0984085351228714,0.3148462474346161,0.13211022317409515
B,awgn_10db,3,10,10,0.0,0.05874735116958618,0.1121198907494545,0.277203232049942,0.1581195592880249
B,awgn_10db,3,11,10,0.5,0.06132835894823074,0.1096205860376358,0.38809818029403687,0.26315993070602417
B,awgn_10db,4,00,10,0.5,0.24658219516277313,0.023756418377161026,0.28163403272628784,0.03503876179456711
B,awgn_10db,4,01,00,0.5,0.3264738619327545,0.21701546013355255,0.10116762667894363,-0.030371779575943947
B,awgn_10db,4,10,10,0.0,0.12224271893501282,0.05370219051837921,0.39018046855926514,0.18031714856624603
B,awgn_10db,4,11,10,0.5,0.15732429921627045,0.12198838591575623,0.3959210515022278,0.2385128140449524
B,ts_1.05,0,00,00,0.0,0.5161420702934265,0.269619882106781,0.23080751299858093,0.07320597767829895
B,ts_1.05,0,01,00,0.5,0.5808048844337463,0.5716118812561035,0.2035961002111435,0.14999434351921082
B,ts_1.05,0,10,10,0.0,0.32520592212677,0.41625139117240906,0.4730589985847473,0.38810813426971436
B,ts_1.05,0,11,10,0.5,0.23479658365249634,0.35531237721443176,0.4829048812389374,0.4231531023979187
B,ts_1.05,1,00,01,0.5,0.49346211552619934,0.5000125169754028,0.12512937188148499,0.004724609665572643
B,ts_1.05,1,01,01,0.0,0.6359997391700745,0.6502166986465454,0.32188284397125244,0.2378857582807541
B,ts_1.05,1,10,10,0.0,0.2576596140861511,0.38333430886268616,0.5367134809494019,0.4569988548755646
B,ts_1.05,1,11,10,0.5,0.14717450737953186,0.3315284550189972,0.49614113569259644,0.4772545099258423
B,ts_1.05,2,00,00,0.0,0.5202698707580566,0.3123796582221985,0.13677434623241425,-0.006454390473663807
B,ts_1.05,2,01,01,0.0,0.6079575419425964,0.6123737692832947,0.26598331332206726,0.19352617859840393
B,ts_1.05,2,10,10,0.0,0.4605034589767456,0.4297093451023102,0.5513303279876709,0.4110693633556366
B,ts_1.05,2,11,10,0.5,0.17683006823062897,0.35993170738220215,0.4780307412147522,0.45972439646720886
B,ts_1.05,3,00,00,0.0,0.4805525243282318,0.24582666158676147,0.2577259838581085,0.11823516339063644
B,ts_1.05,3,01,00,0.5,0.5585954189300537,0.5343447923660278,0.27432429790496826,0.17317885160446167
B,ts_1.05,3,10,10,0.0,0.2507091164588928,0.4079969525337219,0.44393932819366455,0.3698631823062897
B,ts_1.05,3,11,10,0.5,0.2992326021194458,0.38549214601516724,0.47508004307746887,0.373826801776886
B,ts_1.05,4,00,00,0.0,0.5140641927719116,0.27814602851867676,0.22620895504951477,0.046551357954740524
B,ts_1.05,4,01,01,0.0,0.5878401398658752,0.5967189073562622,0.19114597141742706,0.15080079436302185
B,ts_1.05,4,10,10,0.0,0.1894882619380951,0.26791417598724365,0.3790818452835083,0.2833256423473358
B,ts_1.05,4,11,10,0.5,0.24050498008728027,0.3375181257724762,0.43215519189834595,0.3925059735774994
