Notes,County,County Code,Year,Year Code,Month,Month Code,MCD_Drug_Cause,MCD - Drug/Alcohol Induced Cause Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Month_Date
,"Jackson County, MO",29095.0,2018,2018.0,1,2018/01,All other drug-induced causes,D9,133.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-01-01
,"Jackson County, MO",29095.0,2018,2018.0,1,2018/01,All other alcohol-induced causes,A9,14.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-01-01
,"Jackson County, MO",29095.0,2018,2018.0,1,2018/01,All other non-drug and non-alcohol causes,O9,633.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-01-01
,"Jackson County, MO",29095.0,2018,2018.0,2,2018/02,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-02-01
,"Jackson County, MO",29095.0,2018,2018.0,2,2018/02,All other drug-induced causes,D9,105.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-02-01
,"Jackson County, MO",29095.0,2018,2018.0,2,2018/02,All other alcohol-induced causes,A9,12.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-02-01
,"Jackson County, MO",29095.0,2018,2018.0,2,2018/02,All other non-drug and non-alcohol causes,O9,565.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-02-01
,"Jackson County, MO",29095.0,2018,2018.0,3,2018/03,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-03-01
,"Jackson County, MO",29095.0,2018,2018.0,3,2018/03,All other drug-induced causes,D9,96.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-03-01
,"Jackson County, MO",29095.0,2018,2018.0,3,2018/03,All other non-drug and non-alcohol causes,O9,560.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-03-01
,"Jackson County, MO",29095.0,2018,2018.0,4,2018/04,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-04-01
,"Jackson County, MO",29095.0,2018,2018.0,4,2018/04,All other drug-induced causes,D9,91.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-04-01
,"Jackson County, MO",29095.0,2018,2018.0,4,2018/04,All other alcohol-induced causes,A9,18.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-04-01
,"Jackson County, MO",29095.0,2018,2018.0,4,2018/04,All other non-drug and non-alcohol causes,O9,501.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-04-01
,"Jackson County, MO",29095.0,2018,2018.0,5,2018/05,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-05-01
,"Jackson County, MO",29095.0,2018,2018.0,5,2018/05,All other drug-induced causes,D9,88.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-05-01
,"Jackson County, MO",29095.0,2018,2018.0,5,2018/05,All other non-drug and non-alcohol causes,O9,494.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-05-01
,"Jackson County, MO",29095.0,2018,2018.0,6,2018/06,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-06-01
,"Jackson County, MO",29095.0,2018,2018.0,6,2018/06,All other drug-induced causes,D9,83.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-06-01
,"Jackson County, MO",29095.0,2018,2018.0,6,2018/06,All other alcohol-induced causes,A9,12.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-06-01
,"Jackson County, MO",29095.0,2018,2018.0,6,2018/06,All other non-drug and non-alcohol causes,O9,481.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-06-01
,"Jackson County, MO",29095.0,2018,2018.0,7,2018/07,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-07-01
,"Jackson County, MO",29095.0,2018,2018.0,7,2018/07,All other drug-induced causes,D9,78.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-07-01
,"Jackson County, MO",29095.0,2018,2018.0,7,2018/07,All other alcohol-induced causes,A9,11.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-07-01
,"Jackson County, MO",29095.0,2018,2018.0,7,2018/07,All other non-drug and non-alcohol causes,O9,457.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-07-01
,"Jackson County, MO",29095.0,2018,2018.0,8,2018/08,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-08-01
,"Jackson County, MO",29095.0,2018,2018.0,8,2018/08,All other drug-induced causes,D9,95.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-08-01
,"Jackson County, MO",29095.0,2018,2018.0,8,2018/08,All other alcohol-induced causes,A9,11.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-08-01
,"Jackson County, MO",29095.0,2018,2018.0,8,2018/08,All other non-drug and non-alcohol causes,O9,545.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-08-01
,"Jackson County, MO",29095.0,2018,2018.0,9,2018/09,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-09-01
,"Jackson County, MO",29095.0,2018,2018.0,9,2018/09,All other drug-induced causes,D9,86.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-09-01
,"Jackson County, MO",29095.0,2018,2018.0,9,2018/09,All other alcohol-induced causes,A9,14.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-09-01
,"Jackson County, MO",29095.0,2018,2018.0,9,2018/09,All other non-drug and non-alcohol causes,O9,486.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-09-01
,"Jackson County, MO",29095.0,2018,2018.0,10,2018/10,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-10-01
,"Jackson County, MO",29095.0,2018,2018.0,10,2018/10,All other drug-induced causes,D9,92.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-10-01
,"Jackson County, MO",29095.0,2018,2018.0,10,2018/10,All other alcohol-induced causes,A9,13.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-10-01
,"Jackson County, MO",29095.0,2018,2018.0,10,2018/10,All other non-drug and non-alcohol causes,O9,525.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-10-01
,"Jackson County, MO",29095.0,2018,2018.0,11,2018/11,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-11-01
,"Jackson County, MO",29095.0,2018,2018.0,11,2018/11,All other drug-induced causes,D9,96.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-11-01
,"Jackson County, MO",29095.0,2018,2018.0,11,2018/11,All other alcohol-induced causes,A9,14.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-11-01
,"Jackson County, MO",29095.0,2018,2018.0,11,2018/11,All other non-drug and non-alcohol causes,O9,536.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-11-01
,"Jackson County, MO",29095.0,2018,2018.0,12,2018/12,All other drug-induced causes,D9,93.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-12-01
,"Jackson County, MO",29095.0,2018,2018.0,12,2018/12,All other alcohol-induced causes,A9,16.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-12-01
,"Jackson County, MO",29095.0,2018,2018.0,12,2018/12,All other non-drug and non-alcohol causes,O9,552.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-12-01
,"Jackson County, MO",29095.0,2019,2019.0,1,2019/01,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-01-01
,"Jackson County, MO",29095.0,2019,2019.0,1,2019/01,All other drug-induced causes,D9,95.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-01-01
,"Jackson County, MO",29095.0,2019,2019.0,1,2019/01,All other non-drug and non-alcohol causes,O9,585.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-01-01
,"Jackson County, MO",29095.0,2019,2019.0,2,2019/02,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-02-01
,"Jackson County, MO",29095.0,2019,2019.0,2,2019/02,All other drug-induced causes,D9,72.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-02-01
,"Jackson County, MO",29095.0,2019,2019.0,2,2019/02,All other non-drug and non-alcohol causes,O9,510.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-02-01
,"Jackson County, MO",29095.0,2019,2019.0,3,2019/03,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-03-01
,"Jackson County, MO",29095.0,2019,2019.0,3,2019/03,All other drug-induced causes,D9,104.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-03-01
,"Jackson County, MO",29095.0,2019,2019.0,3,2019/03,All other alcohol-induced causes,A9,16.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-03-01
,"Jackson County, MO",29095.0,2019,2019.0,3,2019/03,All other non-drug and non-alcohol causes,O9,597.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-03-01
,"Jackson County, MO",29095.0,2019,2019.0,4,2019/04,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-04-01
,"Jackson County, MO",29095.0,2019,2019.0,4,2019/04,All other drug-induced causes,D9,74.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-04-01
,"Jackson County, MO",29095.0,2019,2019.0,4,2019/04,All other alcohol-induced causes,A9,10.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-04-01
,"Jackson County, MO",29095.0,2019,2019.0,4,2019/04,All other non-drug and non-alcohol causes,O9,524.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-04-01
,"Jackson County, MO",29095.0,2019,2019.0,5,2019/05,All other drug-induced causes,D9,75.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-05-01
,"Jackson County, MO",29095.0,2019,2019.0,5,2019/05,All other alcohol-induced causes,A9,12.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-05-01
,"Jackson County, MO",29095.0,2019,2019.0,5,2019/05,All other non-drug and non-alcohol causes,O9,526.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-05-01
,"Jackson County, MO",29095.0,2019,2019.0,6,2019/06,All other drug-induced causes,D9,80.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-06-01
,"Jackson County, MO",29095.0,2019,2019.0,6,2019/06,All other alcohol-induced causes,A9,16.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-06-01
,"Jackson County, MO",29095.0,2019,2019.0,6,2019/06,All other non-drug and non-alcohol causes,O9,490.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-06-01
,"Jackson County, MO",29095.0,2019,2019.0,7,2019/07,All other drug-induced causes,D9,66.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-07-01
,"Jackson County, MO",29095.0,2019,2019.0,7,2019/07,All other alcohol-induced causes,A9,11.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-07-01
,"Jackson County, MO",29095.0,2019,2019.0,7,2019/07,All other non-drug and non-alcohol causes,O9,527.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-07-01
,"Jackson County, MO",29095.0,2019,2019.0,8,2019/08,All other drug-induced causes,D9,79.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-08-01
,"Jackson County, MO",29095.0,2019,2019.0,8,2019/08,All other non-drug and non-alcohol causes,O9,510.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-08-01
,"Jackson County, MO",29095.0,2019,2019.0,9,2019/09,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-09-01
,"Jackson County, MO",29095.0,2019,2019.0,9,2019/09,All other drug-induced causes,D9,88.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-09-01
,"Jackson County, MO",29095.0,2019,2019.0,9,2019/09,All other alcohol-induced causes,A9,13.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-09-01
,"Jackson County, MO",29095.0,2019,2019.0,9,2019/09,All other non-drug and non-alcohol causes,O9,506.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-09-01
,"Jackson County, MO",29095.0,2019,2019.0,10,2019/10,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-10-01
,"Jackson County, MO",29095.0,2019,2019.0,10,2019/10,All other drug-induced causes,D9,73.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-10-01
,"Jackson County, MO",29095.0,2019,2019.0,10,2019/10,All other alcohol-induced causes,A9,15.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-10-01
,"Jackson County, MO",29095.0,2019,2019.0,10,2019/10,All other non-drug and non-alcohol causes,O9,503.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-10-01
,"Jackson County, MO",29095.0,2019,2019.0,11,2019/11,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-11-01
,"Jackson County, MO",29095.0,2019,2019.0,11,2019/11,All other drug-induced causes,D9,93.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-11-01
,"Jackson County, MO",29095.0,2019,2019.0,11,2019/11,All other alcohol-induced causes,A9,10.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-11-01
,"Jackson County, MO",29095.0,2019,2019.0,11,2019/11,All other non-drug and non-alcohol causes,O9,600.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-11-01
,"Jackson County, MO",29095.0,2019,2019.0,12,2019/12,All other drug-induced causes,D9,87.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-12-01
,"Jackson County, MO",29095.0,2019,2019.0,12,2019/12,All other alcohol-induced causes,A9,18.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-12-01
,"Jackson County, MO",29095.0,2019,2019.0,12,2019/12,All other non-drug and non-alcohol causes,O9,578.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-12-01
,"Jackson County, MO",29095.0,2020,2020.0,1,2020/01,All other drug-induced causes,D9,96.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-01-01
,"Jackson County, MO",29095.0,2020,2020.0,1,2020/01,All other alcohol-induced causes,A9,19.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-01-01
,"Jackson County, MO",29095.0,2020,2020.0,1,2020/01,All other non-drug and non-alcohol causes,O9,624.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-01-01
,"Jackson County, MO",29095.0,2020,2020.0,2,2020/02,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-02-01
,"Jackson County, MO",29095.0,2020,2020.0,2,2020/02,All other drug-induced causes,D9,89.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-02-01
,"Jackson County, MO",29095.0,2020,2020.0,2,2020/02,All other non-drug and non-alcohol causes,O9,560.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-02-01
,"Jackson County, MO",29095.0,2020,2020.0,3,2020/03,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-03-01
,"Jackson County, MO",29095.0,2020,2020.0,3,2020/03,All other drug-induced causes,D9,110.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-03-01
,"Jackson County, MO",29095.0,2020,2020.0,3,2020/03,All other alcohol-induced causes,A9,16.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-03-01
,"Jackson County, MO",29095.0,2020,2020.0,3,2020/03,All other non-drug and non-alcohol causes,O9,589.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-03-01
,"Jackson County, MO",29095.0,2020,2020.0,4,2020/04,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-04-01
,"Jackson County, MO",29095.0,2020,2020.0,4,2020/04,All other drug-induced causes,D9,110.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-04-01
,"Jackson County, MO",29095.0,2020,2020.0,4,2020/04,All other alcohol-induced causes,A9,17.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-04-01
,"Jackson County, MO",29095.0,2020,2020.0,4,2020/04,All other non-drug and non-alcohol causes,O9,641.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-04-01
,"Jackson County, MO",29095.0,2020,2020.0,5,2020/05,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-05-01
,"Jackson County, MO",29095.0,2020,2020.0,5,2020/05,All other drug-induced causes,D9,94.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-05-01
,"Jackson County, MO",29095.0,2020,2020.0,5,2020/05,All other alcohol-induced causes,A9,15.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-05-01
,"Jackson County, MO",29095.0,2020,2020.0,5,2020/05,All other non-drug and non-alcohol causes,O9,603.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-05-01
,"Jackson County, MO",29095.0,2020,2020.0,6,2020/06,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-06-01
,"Jackson County, MO",29095.0,2020,2020.0,6,2020/06,All other drug-induced causes,D9,80.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-06-01
,"Jackson County, MO",29095.0,2020,2020.0,6,2020/06,All other alcohol-induced causes,A9,22.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-06-01
,"Jackson County, MO",29095.0,2020,2020.0,6,2020/06,All other non-drug and non-alcohol causes,O9,562.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2020-06-01
